D:\Sandbox\self_driving_car\Data\IMG\center_2020_09_26_14_34_52_491.jpg, D:\Sandbox\self_driving_car\Data\IMG\left_2020_09_26_14_34_52_491.jpg, D:\Sandbox\self_driving_car\Data\IMG\right_2020_09_26_14_34_52_491.jpg, 0, 0, 0, 2.278146E-05
D:\Sandbox\self_driving_car\Data\IMG\center_2020_09_26_14_34_52_592.jpg, D:\Sandbox\self_driving_car\Data\IMG\left_2020_09_26_14_34_52_592.jpg, D:\Sandbox\self_driving_car\Data\IMG\right_2020_09_26_14_34_52_592.jpg, 0, 0, 0, 2.16845E-05
D:\Sandbox\self_driving_car\Data\IMG\center_2020_09_26_14_34_52_695.jpg, D:\Sandbox\self_driving_car\Data\IMG\left_2020_09_26_14_34_52_695.jpg, D:\Sandbox\self_driving_car\Data\IMG\right_2020_09_26_14_34_52_695.jpg, 0, 0, 0, 2.189093E-05
D:\Sandbox\self_driving_car\Data\IMG\center_2020_09_26_14_34_52_797.jpg, D:\Sandbox\self_driving_car\Data\IMG\left_2020_09_26_14_34_52_797.jpg, D:\Sandbox\self_driving_car\Data\IMG\right_2020_09_26_14_34_52_797.jpg, 0, 0, 0, 2.185622E-05
D:\Sandbox\self_driving_car\Data\IMG\center_2020_09_26_14_34_52_899.jpg, D:\Sandbox\self_driving_car\Data\IMG\left_2020_09_26_14_34_52_899.jpg, D:\Sandbox\self_driving_car\Data\IMG\right_2020_09_26_14_34_52_899.jpg, 0, 0, 0, 2.215633E-05
D:\Sandbox\self_driving_car\Data\IMG\center_2020_09_26_14_34_53_001.jpg, D:\Sandbox\self_driving_car\Data\IMG\left_2020_09_26_14_34_53_001.jpg, D:\Sandbox\self_driving_car\Data\IMG\right_2020_09_26_14_34_53_001.jpg, 0, 0, 0, 2.331274E-05
D:\Sandbox\self_driving_car\Data\IMG\center_2020_09_26_14_34_53_102.jpg, D:\Sandbox\self_driving_car\Data\IMG\left_2020_09_26_14_34_53_102.jpg, D:\Sandbox\self_driving_car\Data\IMG\right_2020_09_26_14_34_53_102.jpg, 0, 0, 0, 2.248695E-05
D:\Sandbox\self_driving_car\Data\IMG\center_2020_09_26_14_34_53_202.jpg, D:\Sandbox\self_driving_car\Data\IMG\left_2020_09_26_14_34_53_202.jpg, D:\Sandbox\self_driving_car\Data\IMG\right_2020_09_26_14_34_53_202.jpg, 0, 0, 0, 2.440529E-05
D:\Sandbox\self_driving_car\Data\IMG\center_2020_09_26_14_34_53_303.jpg, D:\Sandbox\self_driving_car\Data\IMG\left_2020_09_26_14_34_53_303.jpg, D:\Sandbox\self_driving_car\Data\IMG\right_2020_09_26_14_34_53_303.jpg, 0, 0.2431221, 0, 0.1596572
D:\Sandbox\self_driving_car\Data\IMG\center_2020_09_26_14_34_53_405.jpg, D:\Sandbox\self_driving_car\Data\IMG\left_2020_09_26_14_34_53_405.jpg, D:\Sandbox\self_driving_car\Data\IMG\right_2020_09_26_14_34_53_405.jpg, 0, 0.5403714, 0, 0.611429
